Date,Close Price,Invest/Exit,Investment,Shares
2017-10-11,680.75,INVEST,0,146.0
2017-11-15,820.2,EXIT,119749.20000000001,0.0
2017-12-12,770.8,INVEST,0,155.0
2018-01-05,862.3,EXIT,133656.5,0.0
2018-02-02,768.75,INVEST,0,173.0
2018-02-12,844.95,EXIT,146176.35,0.0
2018-03-23,769.5,INVEST,0,189.0
2018-05-02,885.5,EXIT,167359.5,0.0
2018-06-28,726.8,INVEST,0,230.0
2018-08-20,892.5,EXIT,205275.0,0.0
2019-06-19,582.0,INVEST,0,352.0
2019-07-31,675.6,EXIT,237811.2,0.0
2019-08-22,602.5,INVEST,0,394.0
2019-09-24,727.75,EXIT,286733.5,0.0
2019-10-24,655.6,INVEST,0,437.0
2019-11-26,770.05,EXIT,336511.85,0.0
2020-03-26,439.85,INVEST,0,765.0
2020-08-18,766.55,EXIT,586410.75,0.0
2020-09-08,717.8,INVEST,0,816.0
2020-09-15,783.65,EXIT,639458.4,0.0
2020-09-24,710.15,INVEST,0,900.0
2020-12-30,935.65,-,842085.0,0.0
