Company,Y-Column,Model,Method,RMSE,MAE,MSE,n_neighbors,weights,metric,r2_score
500002-ABB India Limited,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.08485835483062802,0.06472252683404398,0.00720094038456077,46,distance,euclidean,0.7586419826342768
500002-ABB India Limited,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0262098505536041,0.017715695107352422,0.0006869562660422612,8,distance,euclidean,0.7708625906012757
500002-ABB India Limited,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.11493476386062663,0.06857808332104011,0.013209999943698005,6,distance,manhattan,0.3888014740065525
500002-ABB India Limited,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.03657527225091298,0.02243361319797459,0.001337750540228405,7,distance,manhattan,0.8464205303399471
500002-ABB India Limited,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.03858550472862788,0.024770725853683957,0.0014888411751629647,6,distance,manhattan,0.9136663833927531
500002-ABB India Limited,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.028688114319735978,0.019865499459701806,0.0008230079032222405,15,distance,euclidean,0.9661587580722285
500002-ABB India Limited,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.09291239657148397,0.05851043162848915,0.008632713436656706,3,distance,manhattan,0.6858552604340185
500002-ABB India Limited,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.031602536638017105,0.022365648368918183,0.0009987203219572135,8,distance,euclidean,0.7692905934449311
500002-ABB India Limited,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.05489511894352598,0.04221164699367367,0.003013474083823865,3,distance,euclidean,0.8404198466652866
500002-ABB India Limited,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.05790758551749809,0.040924191178021437,0.003353288460466355,7,distance,euclidean,0.7904041315810552
500002-ABB India Limited,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.06726828855118896,0.04237486561489877,0.0045250226446060205,6,distance,euclidean,0.8603219326052421
500002-ABB India Limited,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.04049525781012632,0.027281034696151694,0.001639865905108597,9,distance,euclidean,0.9599852110614541
500003-AEGIS LOGISTICS LTD.,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.03432807080264603,0.023810225977425215,0.0011784164450314787,7,distance,euclidean,0.8084485268317683
500003-AEGIS LOGISTICS LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.05648950668764191,0.035043966121189304,0.00319106436581314,5,distance,manhattan,0.7543525393604995
500003-AEGIS LOGISTICS LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.04830509203676162,0.03638992045863016,0.0023333819166800112,21,distance,euclidean,0.86350452804282
500003-AEGIS LOGISTICS LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0201152002197384,0.014754543181002822,0.00040462127988016383,12,distance,manhattan,0.9796683904454047
